name;mpg;cylinders;displacement;horsepower;weight;acceleration;year
chevrolet chevelle malibu;18.0;8;307.0;130;3504.0;12.0;
buick skylark 320;15.0;8;350.0;165;3693.0;11.5;70.0
plymouth satellite;18.0;8;318.0;150;3436.0;;70.0
amc rebel sst;16.0;8;304.0;150;3433.0;12.0;70.0
ford torino;17.0;8;302.0;140;;10.5;70.0
ford galaxie 500;15.0;8;429.0;198;;10.0;70.0
chevrolet impala;14.0;8;454.0;220;;9.0;70.0
plymouth fury iii;14.0;8;440.0;215;4312.0;8.5;70.0
pontiac catalina;14.0;8;455.0;225;4425.0;10.0;70.0
amc ambassador dpl;15.0;8;;190;3850.0;8.5;
dodge challenger se;15.0;8;383.0;170;3563.0;10.0;70.0
plymouth 'cuda 340;14.0;8;;160;;;70.0
chevrolet monte carlo;15.0;8;400.0;150;3761.0;9.5;70.0
buick estate wagon (sw);14.0;8;455.0;225;3086.0;10.0;70.0
toyota corona mark ii;24.0;4;113.0;95;2372.0;15.0;70.0
plymouth duster;22.0;6;198.0;95;2833.0;15.5;
amc hornet;18.0;6;;97;2774.0;15.5;70.0
ford maverick;21.0;6;200.0;85;;16.0;70.0
datsun pl510;27.0;4;97.0;88;;14.5;70.0
volkswagen 1131 deluxe sedan;26.0;4;97.0;46;1835.0;20.5;70.0
peugeot 504;25.0;4;;87;2672.0;17.5;70.0
audi 100 ls;24.0;4;107.0;90;2430.0;14.5;70.0
saab 99e;25.0;4;104.0;95;2375.0;17.5;70.0
bmw 2002;26.0;4;121.0;113;2234.0;12.5;70.0
amc gremlin;21.0;6;199.0;90;2648.0;15.0;70.0
ford f250;10.0;8;360.0;215;4615.0;14.0;70.0
chevy c20;10.0;8;307.0;200;4376.0;15.0;70.0
dodge d200;11.0;8;318.0;210;4382.0;13.5;70.0
hi 1200d;9.0;8;304.0;193;4732.0;18.5;70.0
datsun pl510;27.0;4;97.0;88;2130.0;14.5;71.0
chevrolet vega 2300;28.0;4;140.0;90;2264.0;;71.0
toyota corona;25.0;4;113.0;95;2228.0;14.0;71.0
amc gremlin;19.0;6;232.0;100;2634.0;13.0;71.0
plymouth satellite custom;16.0;6;225.0;105;3439.0;15.5;
chevrolet chevelle malibu;17.0;6;250.0;100;3329.0;15.5;71.0
ford torino 500;19.0;6;250.0;88;3302.0;15.5;71.0
amc matador;18.0;6;232.0;100;3288.0;15.5;71.0
chevrolet impala;14.0;8;;165;4209.0;12.0;71.0
pontiac catalina brougham;14.0;8;400.0;175;4464.0;11.5;71.0
ford galaxie 500;14.0;8;351.0;153;4154.0;13.5;71.0
plymouth fury iii;14.0;8;;150;4096.0;13.0;71.0
dodge monaco (sw);12.0;8;383.0;180;;11.5;71.0
ford country squire (sw);13.0;8;400.0;170;4746.0;12.0;
pontiac safari (sw);13.0;8;400.0;175;5140.0;12.0;71.0
amc hornet sportabout (sw);18.0;6;258.0;110;2962.0;13.5;71.0
chevrolet vega (sw);22.0;4;140.0;72;2408.0;19.0;71.0
pontiac firebird;19.0;6;250.0;100;3282.0;;71.0
ford mustang;18.0;6;;88;3139.0;14.5;71.0
mercury capri 2000;23.0;4;122.0;86;2220.0;14.0;71.0
opel 1900;28.0;4;116.0;90;2123.0;14.0;71.0
peugeot 304;30.0;4;79.0;70;2074.0;19.5;71.0
fiat 124b;30.0;4;;76;2065.0;14.5;71.0
toyota corolla 1200;31.0;4;;65;1773.0;19.0;71.0
datsun 1200;35.0;4;72.0;69;1613.0;18.0;71.0
volkswagen model 111;27.0;4;97.0;60;1834.0;19.0;71.0
plymouth cricket;26.0;4;;70;1955.0;20.5;
toyota corona hardtop;24.0;4;113.0;95;2278.0;15.5;72.0
dodge colt hardtop;25.0;4;97.5;80;2126.0;17.0;
volkswagen type 3;23.0;4;97.0;54;2254.0;23.5;72.0
chevrolet vega;20.0;4;;90;2408.0;19.5;72.0
ford pinto runabout;21.0;4;122.0;86;2226.0;16.5;72.0
chevrolet impala;13.0;8;;165;4274.0;12.0;72.0
pontiac catalina;14.0;8;400.0;175;;;72.0
plymouth fury iii;15.0;8;318.0;150;4135.0;13.5;72.0
ford galaxie 500;14.0;8;351.0;153;4129.0;13.0;72.0
amc ambassador sst;17.0;8;304.0;150;;11.5;72.0
mercury marquis;11.0;8;;208;4633.0;11.0;72.0
buick lesabre custom;13.0;8;350.0;155;;;72.0
oldsmobile delta 88 royale;12.0;8;350.0;160;4456.0;13.5;72.0
chrysler newport royal;13.0;8;400.0;190;4422.0;12.5;72.0
mazda rx2 coupe;19.0;3;70.0;97;2330.0;13.5;72.0
amc matador (sw);15.0;8;304.0;150;3892.0;12.5;72.0
chevrolet chevelle concours (sw);13.0;8;;130;4098.0;14.0;72.0
ford gran torino (sw);13.0;8;302.0;140;4294.0;16.0;
plymouth satellite custom (sw);14.0;8;318.0;150;4077.0;;72.0
volvo 145e (sw);18.0;4;121.0;112;2933.0;14.5;72.0
volkswagen 411 (sw);22.0;4;121.0;76;2511.0;18.0;
peugeot 504 (sw);21.0;4;120.0;87;2979.0;19.5;
renault 12 (sw);26.0;4;96.0;69;;18.0;
ford pinto (sw);22.0;4;122.0;86;2395.0;16.0;72.0
datsun 510 (sw);28.0;4;97.0;92;;17.0;72.0
toyouta corona mark ii (sw);23.0;4;120.0;97;;14.5;72.0
dodge colt (sw);28.0;4;;80;2164.0;15.0;72.0
toyota corolla 1600 (sw);27.0;4;97.0;88;2100.0;16.5;72.0
buick century 350;13.0;8;350.0;175;4100.0;13.0;73.0
amc matador;14.0;8;304.0;150;3672.0;11.5;73.0
chevrolet malibu;13.0;8;350.0;145;3988.0;13.0;73.0
ford gran torino;14.0;8;302.0;137;4042.0;14.5;73.0
dodge coronet custom;15.0;8;318.0;150;3777.0;12.5;73.0
mercury marquis brougham;12.0;8;;198;4952.0;11.5;73.0
chevrolet caprice classic;13.0;8;400.0;150;4464.0;12.0;
ford ltd;13.0;8;351.0;158;4363.0;13.0;73.0
plymouth fury gran sedan;14.0;8;;150;;14.5;73.0
chrysler new yorker brougham;13.0;8;;215;;11.0;73.0
buick electra 225 custom;12.0;8;455.0;225;4951.0;11.0;73.0
amc ambassador brougham;13.0;8;360.0;175;3821.0;11.0;73.0
plymouth valiant;18.0;6;;105;3121.0;;73.0
chevrolet nova custom;16.0;6;250.0;100;3278.0;18.0;73.0
amc hornet;18.0;6;232.0;100;2945.0;16.0;73.0
ford maverick;18.0;6;250.0;88;3021.0;16.5;73.0
plymouth duster;23.0;6;198.0;95;2904.0;16.0;73.0
volkswagen super beetle;26.0;4;97.0;46;1950.0;;
chevrolet impala;11.0;8;400.0;150;;14.0;73.0
ford country;12.0;8;400.0;167;4906.0;12.5;73.0
plymouth custom suburb;13.0;8;;170;4654.0;;73.0
oldsmobile vista cruiser;12.0;8;350.0;180;4499.0;12.5;73.0
amc gremlin;18.0;6;;100;;15.0;73.0
toyota carina;20.0;4;97.0;88;2279.0;19.0;73.0
chevrolet vega;21.0;4;140.0;72;2401.0;19.5;73.0
datsun 610;22.0;4;108.0;94;2379.0;16.5;73.0
maxda rx3;18.0;3;70.0;90;2124.0;13.5;73.0
ford pinto;19.0;4;122.0;85;2310.0;18.5;73.0
mercury capri v6;21.0;6;155.0;107;2472.0;14.0;73.0
fiat 124 sport coupe;26.0;4;;90;2265.0;15.5;
chevrolet monte carlo s;15.0;8;350.0;145;4082.0;13.0;73.0
pontiac grand prix;16.0;8;400.0;230;4278.0;9.5;73.0
fiat 128;29.0;4;68.0;49;1867.0;19.5;
opel manta;24.0;4;116.0;75;2158.0;15.5;73.0
audi 100ls;20.0;4;114.0;91;2582.0;14.0;73.0
volvo 144ea;19.0;4;;112;;15.5;73.0
dodge dart custom;15.0;8;318.0;150;;11.0;73.0
saab 99le;24.0;4;121.0;110;2660.0;14.0;73.0
toyota mark ii;20.0;6;156.0;122;;13.5;73.0
oldsmobile omega;11.0;8;350.0;180;3664.0;11.0;73.0
plymouth duster;20.0;6;198.0;95;3102.0;;
amc hornet;19.0;6;232.0;100;;16.0;74.0
chevrolet nova;15.0;6;250.0;100;3336.0;17.0;74.0
datsun b210;31.0;4;;67;1950.0;19.0;74.0
ford pinto;26.0;4;122.0;80;2451.0;;74.0
toyota corolla 1200;32.0;4;71.0;65;1836.0;21.0;74.0
chevrolet vega;25.0;4;140.0;75;2542.0;17.0;74.0
chevrolet chevelle malibu classic;16.0;6;250.0;100;3781.0;17.0;74.0
amc matador;16.0;6;258.0;110;;18.0;74.0
plymouth satellite sebring;18.0;6;225.0;105;3613.0;16.5;74.0
ford gran torino;16.0;8;;140;4141.0;14.0;74.0
buick century luxus (sw);13.0;8;350.0;150;4699.0;14.5;74.0
dodge coronet custom (sw);14.0;8;318.0;150;4457.0;13.5;74.0
ford gran torino (sw);14.0;8;302.0;140;4638.0;16.0;
amc matador (sw);14.0;8;304.0;150;4257.0;15.5;74.0
audi fox;29.0;4;98.0;83;2219.0;;74.0
volkswagen dasher;26.0;4;79.0;67;1963.0;15.5;
opel manta;26.0;4;97.0;78;2300.0;;74.0
toyota corona;31.0;4;;52;1649.0;16.5;74.0
datsun 710;32.0;4;83.0;61;2003.0;19.0;74.0
dodge colt;28.0;4;90.0;75;2125.0;14.5;74.0
fiat 128;24.0;4;90.0;75;2108.0;15.5;74.0
fiat 124 tc;26.0;4;116.0;75;;;74.0
honda civic;24.0;4;120.0;97;2489.0;15.0;74.0
subaru;26.0;4;108.0;93;2391.0;15.5;74.0
fiat x1.9;31.0;4;79.0;67;2000.0;16.0;74.0
plymouth valiant custom;19.0;6;225.0;95;3264.0;16.0;
chevrolet nova;18.0;6;250.0;105;3459.0;16.0;75.0
mercury monarch;15.0;6;250.0;72;3432.0;21.0;75.0
ford maverick;15.0;6;250.0;72;3158.0;19.5;75.0
pontiac catalina;16.0;8;400.0;170;4668.0;11.5;75.0
chevrolet bel air;15.0;8;350.0;145;4440.0;;
plymouth grand fury;16.0;8;;150;4498.0;;75.0
ford ltd;14.0;8;;148;4657.0;13.5;75.0
buick century;17.0;6;231.0;110;3907.0;21.0;75.0
chevroelt chevelle malibu;16.0;6;250.0;105;3897.0;18.5;75.0
amc matador;15.0;6;258.0;110;;19.0;75.0
plymouth fury;18.0;6;225.0;95;;19.0;75.0
buick skyhawk;21.0;6;231.0;110;;15.0;75.0
chevrolet monza 2+2;20.0;8;;110;3221.0;13.5;75.0
ford mustang ii;13.0;8;302.0;129;3169.0;;75.0
toyota corolla;29.0;4;97.0;75;;16.0;
ford pinto;23.0;4;140.0;83;2639.0;17.0;75.0
amc gremlin;20.0;6;232.0;100;;16.0;75.0
pontiac astro;23.0;4;140.0;78;2592.0;18.5;75.0
toyota corona;24.0;4;134.0;96;2702.0;13.5;75.0
volkswagen dasher;25.0;4;90.0;71;2223.0;16.5;75.0
datsun 710;24.0;4;119.0;97;2545.0;17.0;75.0
ford pinto;18.0;6;171.0;97;;14.5;75.0
volkswagen rabbit;29.0;4;90.0;70;1937.0;;75.0
amc pacer;19.0;6;232.0;90;;17.0;75.0
audi 100ls;23.0;4;;95;2694.0;15.0;75.0
peugeot 504;23.0;4;120.0;88;2957.0;17.0;75.0
volvo 244dl;22.0;4;121.0;98;2945.0;14.5;75.0
saab 99le;25.0;4;121.0;115;2671.0;13.5;75.0
honda civic cvcc;33.0;4;91.0;53;1795.0;17.5;75.0
fiat 131;28.0;4;;86;;15.5;76.0
opel 1900;25.0;4;116.0;81;2220.0;;76.0
capri ii;25.0;4;140.0;92;2572.0;;76.0
dodge colt;26.0;4;98.0;79;2255.0;;76.0
renault 12tl;27.0;4;101.0;83;2202.0;15.3;76.0
chevrolet chevelle malibu classic;17.5;8;305.0;140;;13.0;76.0
dodge coronet brougham;16.0;8;318.0;150;4190.0;13.0;76.0
amc matador;15.5;8;304.0;120;3962.0;13.9;76.0
ford gran torino;14.5;8;351.0;152;4215.0;12.8;76.0
plymouth valiant;22.0;6;225.0;100;;15.4;76.0
chevrolet nova;22.0;6;250.0;105;3353.0;14.5;76.0
ford maverick;24.0;6;200.0;81;3012.0;17.6;76.0
amc hornet;22.5;6;;90;;17.6;76.0
chevrolet chevette;29.0;4;85.0;52;2035.0;22.2;76.0
chevrolet woody;24.5;4;98.0;60;2164.0;22.1;76.0
vw rabbit;29.0;4;;70;1937.0;14.2;76.0
honda civic;33.0;4;91.0;53;1795.0;17.4;76.0
dodge aspen se;20.0;6;225.0;100;;;76.0
ford granada ghia;18.0;6;250.0;78;3574.0;21.0;76.0
pontiac ventura sj;18.5;6;;110;3645.0;16.2;76.0
amc pacer d/l;17.5;6;258.0;95;3193.0;17.8;76.0
volkswagen rabbit;29.5;4;;71;1825.0;;76.0
datsun b-210;32.0;4;85.0;70;1990.0;17.0;76.0
toyota corolla;28.0;4;97.0;75;2155.0;16.4;
ford pinto;26.5;4;140.0;72;2565.0;13.6;76.0
volvo 245;20.0;4;130.0;102;3150.0;15.7;76.0
plymouth volare premier v8;13.0;8;318.0;150;3940.0;13.2;76.0
peugeot 504;19.0;4;120.0;88;;;76.0
toyota mark ii;19.0;6;156.0;108;2930.0;15.5;
mercedes-benz 280s;16.5;6;168.0;120;3820.0;16.7;76.0
cadillac seville;16.5;8;350.0;180;4380.0;12.1;76.0
chevy c10;13.0;8;350.0;145;4055.0;12.0;76.0
ford f108;13.0;8;302.0;130;3870.0;15.0;76.0
dodge d100;13.0;8;318.0;150;;14.0;76.0
honda accord cvcc;31.5;4;98.0;68;;;77.0
buick opel isuzu deluxe;30.0;4;;80;2155.0;14.8;77.0
renault 5 gtl;36.0;4;79.0;58;1825.0;18.6;77.0
plymouth arrow gs;25.5;4;122.0;96;2300.0;15.5;77.0
datsun f-10 hatchback;33.5;4;85.0;70;;16.8;77.0
chevrolet caprice classic;17.5;8;305.0;145;3880.0;12.5;77.0
oldsmobile cutlass supreme;17.0;8;260.0;110;4060.0;19.0;77.0
dodge monaco brougham;15.5;8;318.0;145;4140.0;13.7;77.0
mercury cougar brougham;15.0;8;302.0;130;4295.0;14.9;77.0
chevrolet concours;17.5;6;250.0;110;3520.0;16.4;77.0
buick skylark;20.5;6;231.0;105;;;77.0
plymouth volare custom;19.0;6;225.0;100;3630.0;17.7;77.0
ford granada;18.5;6;250.0;98;3525.0;19.0;77.0
pontiac grand prix lj;16.0;8;400.0;180;4220.0;11.1;77.0
chevrolet monte carlo landau;15.5;8;350.0;170;;11.4;77.0
chrysler cordoba;15.5;8;400.0;190;;;77.0
ford thunderbird;16.0;8;351.0;149;4335.0;14.5;77.0
volkswagen rabbit custom;29.0;4;97.0;78;1940.0;14.5;77.0
pontiac sunbird coupe;24.5;4;151.0;88;;16.0;77.0
toyota corolla liftback;26.0;4;97.0;75;2265.0;18.2;
ford mustang ii 2+2;25.5;4;140.0;89;2755.0;15.8;77.0
chevrolet chevette;30.5;4;98.0;63;2051.0;17.0;77.0
dodge colt m/m;33.5;4;98.0;83;;;77.0
subaru dl;30.0;4;97.0;67;1985.0;16.4;77.0
volkswagen dasher;30.5;4;97.0;78;2190.0;14.1;77.0
datsun 810;22.0;6;146.0;97;2815.0;14.5;77.0
bmw 320i;21.5;4;121.0;110;2600.0;;77.0
mazda rx-4;21.5;3;80.0;110;2720.0;13.5;77.0
volkswagen rabbit custom diesel;43.1;4;90.0;48;1985.0;21.5;78.0
ford fiesta;36.1;4;;66;1800.0;14.4;78.0
mazda glc deluxe;32.8;4;78.0;52;1985.0;19.4;78.0
datsun b210 gx;39.4;4;85.0;70;2070.0;18.6;78.0
honda civic cvcc;36.1;4;91.0;60;;16.4;
oldsmobile cutlass salon brougham;19.9;8;260.0;110;;15.5;78.0
dodge diplomat;19.4;8;318.0;140;3735.0;;78.0
mercury monarch ghia;20.2;8;302.0;139;3570.0;;78.0
pontiac phoenix lj;19.2;6;231.0;105;;19.2;78.0
chevrolet malibu;20.5;6;200.0;95;;18.2;78.0
ford fairmont (auto);20.2;6;200.0;85;2965.0;15.8;78.0
ford fairmont (man);25.1;4;140.0;88;2720.0;15.4;78.0
plymouth volare;20.5;6;225.0;100;3430.0;;78.0
amc concord;19.4;6;232.0;90;3210.0;17.2;
buick century special;20.6;6;;105;3380.0;15.8;78.0
mercury zephyr;20.8;6;200.0;85;3070.0;16.7;78.0
dodge aspen;18.6;6;225.0;110;3620.0;18.7;78.0
amc concord d/l;18.1;6;258.0;120;3410.0;15.1;78.0
chevrolet monte carlo landau;19.2;8;305.0;145;;13.2;78.0
buick regal sport coupe (turbo);17.7;6;231.0;165;3445.0;13.4;78.0
ford futura;18.1;8;;139;3205.0;11.2;78.0
dodge magnum xe;17.5;8;318.0;140;4080.0;13.7;78.0
chevrolet chevette;30.0;4;;68;2155.0;16.5;78.0
toyota corona;27.5;4;134.0;95;2560.0;14.2;78.0
datsun 510;27.2;4;119.0;97;2300.0;14.7;78.0
dodge omni;30.9;4;105.0;75;2230.0;14.5;78.0
toyota celica gt liftback;21.1;4;134.0;95;2515.0;14.8;78.0
plymouth sapporo;23.2;4;156.0;105;2745.0;;78.0
oldsmobile starfire sx;23.8;4;151.0;85;2855.0;17.6;78.0
datsun 200-sx;23.9;4;119.0;97;2405.0;14.9;78.0
audi 5000;20.3;5;131.0;103;2830.0;15.9;78.0
volvo 264gl;17.0;6;163.0;125;3140.0;;78.0
saab 99gle;21.6;4;121.0;115;2795.0;15.7;
peugeot 604sl;16.2;6;163.0;133;3410.0;15.8;
volkswagen scirocco;31.5;4;89.0;71;1990.0;14.9;78.0
honda accord lx;29.5;4;98.0;68;2135.0;16.6;78.0
pontiac lemans v6;21.5;6;;115;;15.4;79.0
mercury zephyr 6;19.8;6;;85;2990.0;18.2;79.0
ford fairmont 4;22.3;4;140.0;88;2890.0;;79.0
amc concord dl 6;20.2;6;232.0;90;3265.0;18.2;79.0
dodge aspen 6;20.6;6;;110;3360.0;16.6;79.0
chevrolet caprice classic;17.0;8;305.0;130;;15.4;79.0
ford ltd landau;17.6;8;302.0;129;3725.0;13.4;79.0
mercury grand marquis;16.5;8;;138;3955.0;13.2;79.0
dodge st. regis;18.2;8;318.0;135;3830.0;15.2;79.0
buick estate wagon (sw);16.9;8;350.0;155;4360.0;14.9;
ford country squire (sw);15.5;8;351.0;142;4054.0;14.3;79.0
chevrolet malibu classic (sw);19.2;8;267.0;125;;15.0;
chrysler lebaron town @ country (sw);18.5;8;360.0;150;;13.0;79.0
vw rabbit custom;31.9;4;89.0;71;;14.0;79.0
maxda glc deluxe;34.1;4;86.0;65;1975.0;15.2;79.0
dodge colt hatchback custom;35.7;4;98.0;80;1915.0;;79.0
amc spirit dl;27.4;4;;80;2670.0;;
mercedes benz 300d;25.4;5;183.0;77;3530.0;20.1;79.0
cadillac eldorado;23.0;8;;125;3900.0;17.4;79.0
peugeot 504;27.2;4;141.0;71;3190.0;24.8;79.0
oldsmobile cutlass salon brougham;23.9;8;260.0;90;3420.0;22.2;79.0
plymouth horizon;34.2;4;105.0;70;2200.0;;79.0
plymouth horizon tc3;34.5;4;105.0;70;2150.0;14.9;79.0
datsun 210;31.8;4;85.0;65;2020.0;19.2;79.0
fiat strada custom;37.3;4;91.0;69;2130.0;;79.0
buick skylark limited;28.4;4;151.0;90;2670.0;16.0;79.0
chevrolet citation;28.8;6;173.0;115;;11.3;79.0
oldsmobile omega brougham;26.8;6;173.0;115;2700.0;12.9;79.0
pontiac phoenix;33.5;4;;90;;13.2;79.0
vw rabbit;41.5;4;98.0;76;;;80.0
toyota corolla tercel;38.1;4;;60;1968.0;18.8;80.0
chevrolet chevette;32.1;4;98.0;70;2120.0;15.5;80.0
datsun 310;37.2;4;86.0;65;2019.0;16.4;80.0
chevrolet citation;28.0;4;151.0;90;;16.5;80.0
ford fairmont;26.4;4;140.0;88;2870.0;18.1;80.0
amc concord;24.3;4;;90;3003.0;20.1;80.0
dodge aspen;19.1;6;225.0;90;3381.0;;80.0
audi 4000;34.3;4;97.0;78;;;80.0
toyota corona liftback;29.8;4;134.0;90;2711.0;;80.0
mazda 626;31.3;4;120.0;75;2542.0;17.5;80.0
datsun 510 hatchback;37.0;4;;92;;15.0;80.0
toyota corolla;32.2;4;;75;2265.0;15.2;80.0
mazda glc;46.6;4;86.0;65;2110.0;17.9;80.0
dodge colt;27.9;4;;105;2800.0;14.4;80.0
datsun 210;40.8;4;85.0;65;2110.0;19.2;80.0
vw rabbit c (diesel);44.3;4;90.0;48;2085.0;21.7;80.0
vw dasher (diesel);43.4;4;90.0;48;;23.7;80.0
audi 5000s (diesel);36.4;5;121.0;67;2950.0;19.9;80.0
mercedes-benz 240d;30.0;4;;67;3250.0;;80.0
honda civic 1500 gl;44.6;4;91.0;67;1850.0;13.8;80.0
subaru dl;33.8;4;97.0;67;2145.0;18.0;80.0
vokswagen rabbit;29.8;4;89.0;62;;15.3;80.0
datsun 280-zx;32.7;6;168.0;132;2910.0;11.4;80.0
mazda rx-7 gs;23.7;3;70.0;100;2420.0;12.5;80.0
triumph tr7 coupe;35.0;4;122.0;88;2500.0;15.1;
honda accord;32.4;4;107.0;72;;;80.0
plymouth reliant;27.2;4;135.0;84;2490.0;15.7;81.0
buick skylark;26.6;4;151.0;84;2635.0;16.4;81.0
dodge aries wagon (sw);25.8;4;156.0;92;2620.0;14.4;81.0
chevrolet citation;23.5;6;173.0;110;2725.0;12.6;81.0
plymouth reliant;30.0;4;135.0;84;;12.9;81.0
toyota starlet;39.1;4;79.0;58;1755.0;16.9;81.0
plymouth champ;39.0;4;86.0;64;1875.0;16.4;81.0
honda civic 1300;35.1;4;81.0;60;1760.0;16.1;81.0
subaru;32.3;4;97.0;67;2065.0;17.8;81.0
datsun 210 mpg;37.0;4;85.0;65;;19.4;81.0
toyota tercel;37.7;4;;62;2050.0;17.3;81.0
mazda glc 4;34.1;4;91.0;68;1985.0;16.0;
plymouth horizon 4;34.7;4;105.0;63;2215.0;14.9;81.0
ford escort 4w;34.4;4;;65;2045.0;16.2;81.0
ford escort 2h;29.9;4;98.0;65;2380.0;20.7;81.0
volkswagen jetta;33.0;4;105.0;74;2190.0;14.2;81.0
honda prelude;33.7;4;107.0;75;2210.0;14.4;81.0
toyota corolla;32.4;4;108.0;75;;16.8;
datsun 200sx;32.9;4;119.0;100;2615.0;14.8;81.0
mazda 626;31.6;4;120.0;74;2635.0;18.3;
peugeot 505s turbo diesel;28.1;4;141.0;80;3230.0;20.4;81.0
volvo diesel;30.7;6;145.0;76;3160.0;19.6;81.0
toyota cressida;25.4;6;168.0;116;2900.0;12.6;81.0
datsun 810 maxima;24.2;6;146.0;120;2930.0;13.8;81.0
buick century;22.4;6;;110;3415.0;15.8;81.0
oldsmobile cutlass ls;26.6;8;350.0;105;3725.0;19.0;81.0
ford granada gl;20.2;6;200.0;88;3060.0;17.1;81.0
chrysler lebaron salon;17.6;6;225.0;85;3465.0;16.6;81.0
chevrolet cavalier;28.0;4;112.0;88;2605.0;;
chevrolet cavalier wagon;27.0;4;112.0;88;2640.0;18.6;82.0
chevrolet cavalier 2-door;34.0;4;112.0;88;2395.0;18.0;82.0
pontiac j2000 se hatchback;31.0;4;112.0;85;2575.0;16.2;82.0
dodge aries se;29.0;4;135.0;84;;16.0;82.0
pontiac phoenix;27.0;4;;90;2735.0;18.0;82.0
ford fairmont futura;24.0;4;140.0;92;2865.0;16.4;82.0
volkswagen rabbit l;36.0;4;105.0;74;1980.0;15.3;82.0
mazda glc custom l;37.0;4;91.0;68;2025.0;18.2;82.0
mazda glc custom;31.0;4;91.0;68;;17.6;82.0
plymouth horizon miser;38.0;4;105.0;63;2125.0;14.7;82.0
mercury lynx l;36.0;4;98.0;70;2125.0;17.3;82.0
nissan stanza xe;36.0;4;120.0;88;2160.0;14.5;82.0
honda accord;36.0;4;107.0;75;2205.0;14.5;82.0
toyota corolla;34.0;4;108.0;70;2245.0;16.9;82.0
honda civic;38.0;4;91.0;67;;15.0;82.0
honda civic (auto);32.0;4;91.0;67;1965.0;15.7;82.0
datsun 310 gx;38.0;4;91.0;67;;16.2;
buick century limited;25.0;6;181.0;110;2945.0;16.4;82.0
oldsmobile cutlass ciera (diesel);38.0;6;262.0;85;;17.0;82.0
chrysler lebaron medallion;26.0;4;156.0;92;2585.0;14.5;82.0
ford granada l;22.0;6;;112;;14.7;82.0
toyota celica gt;32.0;4;144.0;96;2665.0;13.9;82.0
dodge charger 2.2;36.0;4;;84;;13.0;82.0
chevrolet camaro;27.0;4;151.0;90;2950.0;17.3;82.0
ford mustang gl;27.0;4;140.0;86;2790.0;15.6;
vw pickup;44.0;4;97.0;52;2130.0;24.6;
dodge rampage;32.0;4;135.0;84;;11.6;82.0
ford ranger;28.0;4;120.0;79;2625.0;18.6;82.0
chevy s-10;31.0;4;119.0;82;2720.0;19.4;82.0
